"","lat","long","pika.pres","marmot.pres","talus.area","elev.m","group"
"176",40.280865,-105.599205,"Present","no.data","5001-10,000m2",3586.73,"pikas.only"
"178",40.48362,-105.90318,"Absent","Present","1001-5000m2",3258.51,"marmots.only"
"179",40.09469,-105.5846,"Present","Absent",">5 ha",3419.47,"pikas.only"
"180",39.20742,-106.17124,"Present","Present",">5 ha",3762.08,"both.spp.present"
"181",40.43158,-105.62539,"Absent","Absent","1001-5000m2",3312.97,"both.spp.absent"
"182",39.38187,-106.13303,"Present","Absent",">5 ha",3900.47,"pikas.only"
"183",40.25799,-105.8114,"Absent","Absent","1001-5000m2",2626.48,"both.spp.absent"
"184",39.71945,-105.90058,"Present","Present","5001-10,000m2",3648.12,"both.spp.present"
"185",39.72194,-105.90144,"Present","Present","5001-10,000m2",3767.53,"both.spp.present"
"186",39.72503,-105.89559,"Present","Present","5001-10,000m2",3662.15,"both.spp.present"
"187",39,-105.72401,"Present","Absent","5001-10,000m2",2686.2,"pikas.only"
"188",40.38374,-105.90297,"Present","Absent","1001-5000m2",3459.52,"pikas.only"
"189",39.167814,-106.475306,"Present","Absent","1001-5000m2",3446.96,"pikas.only"
"190",40.2613916,-105.6310826,"Present","Absent",">5 ha",3444.9,"pikas.only"
"191",40.26126,-105.63148,"Present","Present","5001-10,000m2",3437.75,"both.spp.present"
"192",39.36457,-106.21362,"Present","Absent","5001-10,000m2",3446.35,"pikas.only"
"193",39.36444,-106.21351,"Present","Absent","1001-5000m2",3442.71,"pikas.only"
"194",39.56633,-105.7228,"Absent","Absent",">1 ha",3328.4,"both.spp.absent"
"195",39.7311,-105.84018,"Present","Absent","1001-5000m2",3916.03,"pikas.only"
"196",40.43355,-105.7448,"Absent","Absent","1001-5000m2",3519.45,"both.spp.absent"
"197",40.261299,-105.631416,"Present","Present","1001-5000m2",3437.77,"both.spp.present"
"198",40.0948,-105.5849,"Present","Present",">1 ha",3426.99,"both.spp.present"
"199",40.43,-105.62539,"Present","Absent","1001-5000m2",3363.55,"pikas.only"
"200",40.481479,-105.655164,"Absent","Absent",">5 ha",3690.68,"both.spp.absent"
"201",40.47486,-105.65353,"Present","Present","1001-5000m2",3683.13,"both.spp.present"
"202",40.481944,-105.904722,"Present","Absent","5001-10,000m2",3251.49,"pikas.only"
"203",40.10696,-105.59835,"Present","Absent","5001-10,000m2",3668.03,"pikas.only"
"204",39.16747,-106.47574,"Present","Absent","5001-10,000m2",3426.42,"pikas.only"
"205",40.431581,-105.631627,"Absent","Absent",">5 ha",3065.4,"both.spp.absent"
"206",40.43347,-105.74487,"Absent","Absent","<1000m2",3525.84,"both.spp.absent"
"207",40.47506,-105.65345,"Absent","Present","<1000m2",3673.31,"marmots.only"
"208",39.78046,-105.88809,"Present","Present","1001-5000m2",3749.13,"both.spp.present"
"209",39.20215,-106.1499,"Present","Absent",">5 ha",3592.99,"pikas.only"
"210",39.2071,-106.10725,"Present","Present","<1000m2",3314.5,"both.spp.present"
"211",39.78048,-105.88841,"Present","Present",">1 ha",3758.48,"both.spp.present"
"213",40.55581,-105.81369,"Present","Absent",">5 ha",3041.7,"pikas.only"
"214",39.202154,-106.149909,"Present","Absent",">5 ha",3592.03,"pikas.only"
